mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_features,param_max_depth,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
109.32697267532349,99.21067358410875,0.8244393825531006,0.08318468632468823,200,10,2,sqrt,30,"{'n_estimators': 200, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': 30}",0.9974653638712363,0.9976317827530061,0.9977713874854234,0.9973940846835042,0.9968752237868919,0.9974275685160123,0.00030579381747214364,11
693.9344251155853,787.2095484494279,2.278290939331055,0.7738561396854658,400,2,2,log2,30,"{'n_estimators': 400, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'log2', 'max_depth': 30}",0.9974674380634645,0.9976026492280817,0.9977439321649659,0.9974111909119447,0.9967944163433782,0.9974039253423669,0.0003257863398788342,12
55.99123244285583,2.4865455976861446,1.9835457801818848,0.7702720252272472,400,2,2,log2,20,"{'n_estimators': 400, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'log2', 'max_depth': 20}",0.9974282795625407,0.9975502399124886,0.9977097688604503,0.9974283976029108,0.9968134984447734,0.9973860368766327,0.0003043498532709266,13
31.202475452423094,0.25203013269826696,0.8924318313598633,0.05077886389519137,200,2,2,sqrt,20,"{'n_estimators': 200, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': 20}",0.9974143058849536,0.9974874915736662,0.9976764545515111,0.9973611894745043,0.9968787328259905,0.9973636348621252,0.0002649151411995681,14
12.324993515014649,0.7399768874508534,0.5501991748809815,0.041720249960057625,100,10,2,log2,,"{'n_estimators': 100, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_features': 'log2', 'max_depth': None}",0.9973587248743391,0.9975454124498221,0.9976076880214604,0.9972410174518046,0.9968809352475209,0.9973267556089894,0.0002584038291682535,15
30.542698478698732,0.6474562578202027,0.8405068397521973,0.07906198521048072,200,10,4,sqrt,,"{'n_estimators': 200, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_depth': None}",0.9973973162943802,0.9975119865999944,0.9974925824888963,0.9972010273252223,0.9967076766181273,0.9972621178653241,0.0002983166415694242,16
49.332492685317995,2.6924909554305687,1.3484004020690918,0.10080404429400915,400,2,4,log2,30,"{'n_estimators': 400, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_features': 'log2', 'max_depth': 30}",0.9972459700124146,0.9974451714178183,0.9975536927664445,0.997222630497383,0.9965754306817323,0.9972085790751585,0.000339868153633702,17
67.6435357093811,15.208813919452881,2.1906407356262205,0.4521313153584143,300,10,4,log2,30,"{'n_estimators': 300, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_features': 'log2', 'max_depth': 30}",0.9973188986456977,0.9974451714178183,0.9974479599128039,0.9971291901809632,0.9966789965220506,0.9972040433358667,0.0002870912545182136,18
16.543956184387206,0.14894233902877488,0.594457483291626,0.030221344842362056,100,5,4,sqrt,20,"{'n_estimators': 100, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_depth': 20}",0.9973357104714423,0.9975159904721252,0.9973164603055829,0.9972040449706934,0.996554404088434,0.9971853220616556,0.0003309270453613389,19
47.93017134666443,2.681556206805174,1.385401153564453,0.046911301622652224,400,2,1,sqrt,10,"{'n_estimators': 400, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 10}",0.9948064851288418,0.9949537142159327,0.9951252756234266,0.9946927815208867,0.9940737391486194,0.9947303991275416,0.00035894388629642793,20
53.815108394622804,1.5366062050695743,1.0036179065704345,0.21514921643483959,200,2,1,sqrt,10,"{'n_estimators': 200, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 10}",0.9947339777283718,0.9949537021265316,0.9950892095891122,0.9946572306587224,0.9941097954701354,0.9947087831145748,0.00033668627753640737,21
